variant,instance_name,dim,cp_median_time,milp_median_time,cp_std_time,milp_std_time
basic_jssp,la01,10x5,57.865762,22.237585,0.522173,1.767357
basic_jssp,la02,10x5,132.409383,18.425742,10.032509,0.170166
basic_jssp,la03,10x5,385.371118,15.991269,15.249953,0.154036
basic_jssp,la04,10x5,449.353909,15.110917,61.607653,0.11601
basic_jssp,la05,10x5,112.394871,21.688481,5.851945,0.159157
basic_jssp,la06,15x5,600.12954,610.858884,0.00356,0.14932
basic_jssp,la07,15x5,600.144127,611.252967,0.006599,0.280676
basic_jssp,la08,15x5,600.128567,610.937729,0.103479,1.165385
basic_jssp,la09,15x5,600.16414,610.926939,0.022012,0.220964
basic_jssp,la10,15x5,600.127002,611.137865,0.054995,0.265022
basic_jssp,la11,20x5,600.212295,619.636514,0.004853,0.177876
basic_jssp,la12,20x5,600.196464,619.879454,0.010856,0.299178
basic_jssp,la13,20x5,600.194824,619.553486,0.009845,0.251992
basic_jssp,la14,20x5,600.264411,619.711082,0.061158,0.230373
basic_jssp,la15,20x5,600.199867,619.312845,0.012859,0.246715
basic_jssp,la16,10x10,172.786059,102.216401,9.593836,0.846791
basic_jssp,la17,10x10,30.266152,64.556889,0.535704,0.565587
basic_jssp,la18,10x10,78.609434,63.933035,25.400893,0.483383
basic_jssp,la19,10x10,159.821352,71.809289,13.132425,0.470644
basic_jssp,la20,10x10,130.343677,65.697698,11.727979,0.356218
basic_jssp,small01,5x3,0.073668,0.349904,0.006258,0.019334
basic_jssp,small02,5x3,0.080007,0.411019,0.004469,0.040195
basic_jssp,small03,5x3,0.074412,0.362249,0.009372,0.024627
basic_jssp,small04,5x3,0.087563,0.3341,0.017299,0.015451
basic_jssp,small05,5x3,0.080735,0.347617,0.006086,0.026754
basic_jssp,small06,5x3,0.094755,0.341886,0.004397,0.014318
basic_jssp,small07,5x3,0.078828,0.348357,0.002011,0.02848
basic_jssp,small08,5x3,0.111207,0.355075,0.016269,0.035165
basic_jssp,small09,5x3,0.073734,0.380251,0.007643,0.024891
basic_jssp,small10,5x3,0.081957,0.352529,0.004286,0.011925
basic_jssp,small11,5x5,0.118555,1.375733,0.015945,0.072695
basic_jssp,small12,5x5,0.15203,1.369795,0.009987,0.089963
basic_jssp,small13,5x5,0.169539,1.325294,0.009988,0.066339
basic_jssp,small14,5x5,0.142911,1.335714,0.006996,0.051126
basic_jssp,small15,5x5,0.158644,1.363237,0.015052,0.07311
basic_jssp,small16,5x5,0.150589,1.356397,0.016486,0.08858
basic_jssp,small17,5x5,0.140494,1.284983,0.007241,0.078927
basic_jssp,small18,5x5,0.160845,1.355158,0.008856,0.088886
basic_jssp,small19,5x5,0.151495,1.310551,0.01025,0.082135
basic_jssp,small20,5x5,0.174551,1.327441,0.042998,0.055147
basic_jssp,small21,5x8,0.274985,5.315114,0.047382,0.075763
basic_jssp,small22,5x8,0.299953,5.358918,0.048651,0.144489
basic_jssp,small23,5x8,0.286926,5.38064,0.049542,0.110192
basic_jssp,small24,5x8,0.317481,5.346421,0.025165,0.123116
basic_jssp,small25,5x8,0.295627,5.465852,0.040757,0.186424
basic_jssp,small26,5x8,0.344855,5.432697,0.056564,0.155843
basic_jssp,small27,5x8,0.333345,5.54612,0.043454,0.203801
basic_jssp,small28,5x8,0.282969,5.305968,0.032919,0.123809
basic_jssp,small29,5x8,0.231568,5.295452,0.012153,0.061513
basic_jssp,small30,5x8,0.235546,5.370906,0.035652,0.090517
basic_jssp,small31,8x8,1.879444,15.038065,0.298773,0.187555
basic_jssp,small32,8x8,0.887194,14.013509,0.131581,0.14927
basic_jssp,small33,8x8,5.004708,17.579955,0.448225,0.224846
basic_jssp,small34,8x8,2.006267,15.420112,0.180574,0.123799
basic_jssp,small35,8x8,2.606408,16.110681,0.386642,0.154518
basic_jssp,small36,8x8,1.973695,15.432788,0.144963,0.14492
basic_jssp,small37,8x8,1.931655,15.607667,0.232214,0.125609
basic_jssp,small38,8x8,4.424409,16.737398,1.148254,0.111335
basic_jssp,small39,8x8,3.039966,16.545957,0.592972,0.2516
basic_jssp,small40,8x8,3.299982,17.770491,0.53051,0.524063
d_jssp,d_jssp001.json,5x3,0.095993,0.345856,0.236797,49.248773
d_jssp,d_jssp002.json,5x3,0.071549,0.385075,0.005375,0.039335
d_jssp,d_jssp003.json,5x3,0.075478,0.346548,0.006467,0.01437
d_jssp,d_jssp004.json,5x3,0.087987,0.348186,0.007523,0.015984
d_jssp,d_jssp005.json,5x3,0.076942,0.330795,0.007725,0.012431
d_jssp,d_jssp006.json,5x3,0.073208,0.314642,0.002665,0.013552
d_jssp,d_jssp007.json,5x3,0.068717,0.329895,0.001784,0.021703
d_jssp,d_jssp008.json,5x3,0.07302,0.340275,0.004872,0.01388
d_jssp,d_jssp009.json,5x3,0.073089,0.348883,0.004262,0.017442
d_jssp,d_jssp010.json,5x3,0.086371,0.324211,0.010518,0.018929
d_jssp,d_jssp011.json,5x5,0.120073,1.351464,0.010109,0.060566
d_jssp,d_jssp012.json,5x5,0.132062,1.234395,0.004236,0.075464
d_jssp,d_jssp013.json,5x5,0.130854,1.245285,0.007296,0.086626
d_jssp,d_jssp014.json,5x5,0.113749,1.301543,0.012125,0.081692
d_jssp,d_jssp015.json,5x5,0.14291,1.249189,0.005112,0.079066
d_jssp,d_jssp016.json,5x5,0.146506,1.356003,0.010827,0.085001
d_jssp,d_jssp017.json,5x5,0.111535,1.271464,0.009827,0.096493
d_jssp,d_jssp018.json,5x5,0.133504,1.282326,0.006848,0.078228
d_jssp,d_jssp019.json,5x5,0.133208,1.314799,0.009302,0.089828
